 40 AS PER    04 20 11.08 +48 58 10.9 11.507 0.011 11.286 0.020 11.161 0.065 18 18 18 11.416 11.230 11.158                      
 47 AS PER    04 19 46.89 +48 53 09.2 11.952 0.029 11.739 0.032 11.593 0.042 18 16 16 11.918 11.765 11.657                      
 50 AS PER    04 20 07.03 +48 55 34.2 12.124 0.018 11.735 0.029 11.687 0.059 18 18 16 12.145 11.765 11.675                      
  2 AS VUL    19 47 58.78 +27 54 14.7  7.650 0.003  6.583 0.006  6.266 0.004 32 32 32  7.712  6.602  6.171                      
  4 AS VUL    19 48 01.75 +27 51 01.8  8.771 0.002  7.587 0.003  7.232 0.004 32 32 32  8.789  7.629  7.144                      
  5 AS VUL    19 47 44.47 +27 55 05.6  8.374 0.018  7.715 0.016  7.489 0.015 32 32 32  8.509  7.726  7.419 Ceph AS VUL          
  6 AS VUL    19 48 17.91 +27 51 30.4  9.851 0.012  8.221 0.007  7.543 0.010 24 24 24  9.917  8.229  7.526                      
  7 AS VUL    19 48 14.03 +27 55 32.4  9.482 0.003  8.270 0.004  7.790 0.007 28 28 28  9.566  8.306  7.797                      
  8 AS VUL    19 47 47.48 +27 53 23.7  9.585 0.025  8.258 0.027  7.528 0.024 32 32 32  9.501  8.114  7.402 unclassified variable
 10 AS VUL    19 48 10.42 +27 57 18.2  9.642 0.004  8.361 0.006  7.747 0.013 32 32 32  9.672  8.322  7.727                      
 12 AS VUL    19 47 46.12 +27 59 57.5  9.894 0.010  8.605 0.007  7.987 0.011 26 27 26 10.026  8.675  8.052                      
 20 AS VUL    19 47 56.69 +27 48 52.0 10.322 0.004  9.190 0.005  8.951 0.012 31 31 31 10.291  9.217  8.817                      
 21 AS VUL    19 47 45.41 +27 52 32.0 10.413 0.004  9.134 0.002  8.724 0.006 32 32 32 10.466  9.199  8.666                      
 23 AS VUL    19 48 05.91 +27 49 41.6 10.595 0.004  9.158 0.003  8.668 0.005 31 31 31 10.792  9.291  8.671                      
 25 AS VUL    19 48 03.72 +27 59 33.1 10.371 0.006  9.178 0.004  8.766 0.015 30 30 29 10.394  9.164  8.734                      
 30 AS VUL    19 47 33.71 +27 57 57.9  9.684 0.003  9.169 0.003  9.087 0.010 29 29 29  9.741  9.200  9.061                      
 40 AS VUL    19 47 40.60 +27 52 00.0  9.961 0.004  9.580 0.004  9.551 0.013 32 32 32 10.008  9.648  9.605                      
 44 AS VUL    19 47 51.56 +27 53 44.3 10.772 0.004  9.726 0.003  9.461 0.006 32 32 32 10.809  9.763  9.379                      
 48 AS VUL    19 47 44.23 +27 58 32.4 10.462 0.004  9.799 0.003  9.629 0.008 32 32 32 10.584  9.951  9.718                      
 53 AS VUL    19 47 55.41 +27 57 16.4 10.805 0.004  9.895 0.003  9.683 0.009 32 32 32 10.805  9.846  9.566                      
 56 AS VUL    19 47 50.92 +27 51 24.4 10.052 0.003  9.937 0.004  9.963 0.011 32 32 32 10.008  9.960  9.889 HD 332761            
 71 AS VUL    19 47 42.14 +27 50 05.0 10.453 0.004 10.302 0.004 10.354 0.023 32 32 32 10.352 10.255 10.222 HD 332760            
 72 AS VUL    19 47 54.50 +27 53 24.3 10.346 0.003 10.316 0.005 10.400 0.010 32 32 32 10.253 10.241 10.211 HD 332762            
 73 AS VUL    19 47 36.77 +27 51 29.9 10.490 0.005 10.168 0.006 10.185 0.019 32 32 32 10.545 10.295 10.277                      
  6 AV TAU    05 46 06.62 +27 08 11.9  8.399 0.007  7.880 0.007  7.732 0.010 22 22 22  8.414  7.891  7.736                      
  8 AV TAU    05 45 50.93 +27 08 44.0  9.288 0.003  8.534 0.003  8.324 0.004 22 22 22  9.332  8.557  8.344                      
  9 AV TAU    05 45 44.91 +27 04 04.5  9.195 0.018  8.635 0.016  8.441 0.015 22 22 22  9.224  8.588  8.397 Ceph AV TAU          
 11 AV TAU    05 45 52.12 +27 05 30.3  9.933 0.004  9.333 0.004  9.202 0.010 22 22 22  9.944  9.360  9.154                      
 14 AV TAU    05 46 08.45 +27 01 50.6 10.480 0.005 10.261 0.006 10.219 0.013 22 22 22 10.479 10.289 10.234                      
 15 AV TAU    05 46 16.14 +27 06 14.8 11.053 0.009 10.223 0.006  9.965 0.017 21 21 21 11.093 10.237  9.994                      
 16 AV TAU    05 45 54.28 +26 59 08.7 10.566 0.008 10.260 0.008 10.268 0.019 22 22 22 10.595 10.360 10.288                      
 21 AV TAU    05 45 51.01 +27 04 03.8 11.254 0.007 10.542 0.007 10.376 0.009 22 22 22 11.309 10.575 10.333                      
 22 AV TAU    05 45 51.00 +27 01 37.8 11.096 0.007 10.570 0.006 10.515 0.011 22 22 22 11.107 10.613 10.484                      
 25 AV TAU    05 46 17.57 +27 04 29.0 11.802 0.015 10.931 0.011 10.617 0.053 20 20 20 11.854 10.959 10.676                      
