7 1001 54512.837   8.278 0.013 194 ADGem
8 1001 54512.837   8.181 0.018 194 ADGem
6 1001 54515.830   8.503 0.014 194 ADGem
7 1001 54515.830   8.144 0.013 194 ADGem
8 1001 54515.830   8.093 0.018 194 ADGem
6 1001 54516.827   8.580 0.014 194 ADGem
7 1001 54516.827   8.249 0.013 194 ADGem
8 1001 54516.827   8.193 0.018 194 ADGem
6 1001 54520.676   8.550 0.014 194 ADGem
7 1001 54520.676   8.225 0.013 194 ADGem
8 1001 54520.676   8.154 0.018 194 ADGem
6 1001 54523.727   8.597 0.014 194 ADGem
7 1001 54523.727   8.218 0.013 194 ADGem
8 1001 54523.727   8.155 0.018 194 ADGem
6 1001 54526.803   8.466 0.014 194 ADGem
7 1001 54526.803   8.098 0.013 194 ADGem
8 1001 54526.803   8.032 0.017 194 ADGem
6 1001 54574.679   8.366 0.014 194 ADGem
7 1001 54574.679   8.087 0.013 194 ADGem
8 1001 54574.679   7.995 0.017 194 ADGem
6 1001 54575.660   8.446 0.014 194 ADGem
7 1001 54575.660   8.095 0.013 194 ADGem
8 1001 54575.660   7.997 0.017 194 ADGem
6 1001 54577.680   8.467 0.014 194 ADGem
7 1001 54577.680   8.178 0.013 194 ADGem
8 1001 54577.680   8.128 0.018 194 ADGem
6 1001 54578.683   8.389 0.014 194 ADGem
7 1001 54578.683   8.074 0.013 194 ADGem
8 1001 54578.683   7.980 0.017 194 ADGem
6 1001 54579.681   8.473 0.014 194 ADGem
7 1001 54579.681   8.100 0.013 194 ADGem
8 1001 54579.681   8.027 0.017 194 ADGem
6 1001 54580.667   8.577 0.014 194 ADGem
7 1001 54580.667   8.231 0.013 194 ADGem
8 1001 54580.667   8.144 0.018 194 ADGem
6 1001 54584.656   8.612 0.014 194 ADGem
7 1001 54584.656   8.232 0.013 194 ADGem
8 1001 54584.656   8.164 0.018 194 ADGem
6 1001 54585.664   8.363 0.014 194 ADGem
7 1001 54585.664   8.105 0.013 194 ADGem
8 1001 54585.664   8.016 0.017 194 ADGem
6 1001 54586.651   8.415 0.014 194 ADGem
7 1001 54586.651   8.088 0.013 194 ADGem
8 1001 54586.651   8.045 0.018 194 ADGem
6 1001 54726.912   8.428 0.014 194 ADGem
7 1001 54726.912   8.066 0.013 194 ADGem
8 1001 54726.912   7.999 0.017 194 ADGem
6 1001 54747.023   8.549 0.014 194 ADGem
7 1001 54747.023   8.167 0.013 194 ADGem
8 1001 54747.023   8.101 0.018 194 ADGem
6 1001 54755.875   8.393 0.014 194 ADGem
7 1001 54755.875   8.152 0.013 194 ADGem
8 1001 54755.875   8.079 0.018 194 ADGem
6 1001 54767.963   8.379 0.014 194 ADGem
7 1001 54767.963   8.075 0.013 194 ADGem
8 1001 54767.963   8.001 0.017 194 ADGem
6 1001 54482.591   8.325 0.014 46 AKCep
7 1001 54482.591   7.864 0.013 46 AKCep
8 1001 54482.591   7.707 0.017 46 AKCep
6 1001 54629.914   8.352 0.014 46 AKCep
7 1001 54629.914   7.805 0.013 46 AKCep
8 1001 54629.914   7.668 0.017 46 AKCep
6 1001 54643.923   8.345 0.014 46 AKCep
7 1001 54643.923   7.831 0.013 46 AKCep
8 1001 54643.923   7.654 0.017 46 AKCep
6 1001 54660.952   8.517 0.014 46 AKCep
7 1001 54660.952   7.970 0.013 46 AKCep
8 1001 54660.952   7.800 0.017 46 AKCep
6 1001 54661.915   8.524 0.014 46 AKCep
7 1001 54661.915   8.032 0.013 46 AKCep
8 1001 54661.915   7.895 0.017 46 AKCep
6 1001 54662.863   8.350 0.014 46 AKCep
7 1001 54662.863   7.892 0.013 46 AKCep
