RY CMA    07 16 37.6 -11 29 14   8.45  7.71  DCEP       4.67825
RZ CMA    07 21 32.9 -16 41 14   9.97  9.36  DCEP       4.254832
SS CMA    07 26 07.2 -25 15 26  10.36  9.26  DCEP      12.361
TV CMA    07 09 15.4 -13 47 10  10.96 10.16  DCEP       4.67001
TW CMA    07 22 02.4 -14 19 05   9.93  9.28  DCEP       6.99507
VZ CMA    07 26 28.2 -25 55 36   9.60  9.15  DCEPS      3.12640
XZ CMA    07 00 24.8 -20 25 54  14.4  13.0   CEP        2.557705
AI CMA    07 16 40.3 -24 30 11  14.6  13.1   CEP        3.27513
AL CMA    07 21 45.2 -26 32 01  14.3  13.6   CEP        2.82549
AM CMA    07 22 48.0 -26 42 54  14.4  13.1   CEP        2.54554
AO CMA    07 24 40.6 -26 11 19  14.1  12.9   DCEP       5.81634
BC CMA    07 21 07.5 -21 30 39  14.6  13.8   CEP        4.17540
BY CMA    07 26 29.4 -27 55 30  14.4  13.0   CEP        3.184580
CN CMA    07 09 34.6 -18 33 48  15.1  14.1   CWB:       2.54612
CP CMA    07 14 54.4 -22 14 09  14.3  13.2   CEP        4.84569
DZ CMA    07 16 59.3 -15 18 26  13.5  12.6   DCEP       1.75434
VY CMI    07 56 05.3 +04 15 28  15.8  14.6   CEP:       6.460     :
AL CRA    18 15 11.5 -37 06 52  12.58 11.46  CWA       17.060
BE CRA    18 54 54.1 -40 23 16  14.9  13.57  CWB        3.33650
BQ CRA    18 37 01.4 -38 04 35  14.5  13.2   CWB        1.1276457
HQ CRA    18 11 53.7 -37 39 15  15.6  14.2   CWB        1.414950
KQ CRA    17 59 34.5 -39 35 07  12.91 11.92  CWA       30.864
QT CRA    18 09 12.4 -40 12 13  12.5  11.4   SRD:      79.145
V347 CRA  18 12 19.8 -39 14 22  13.18 12.20  CWA       15.3460
V449 CRA  18 57 17.7 -38 08 30  15.2  13.0   CWA       16.4943
R CRU     12 23 37.7 -61 37 45   7.23  6.40  DCEP       5.82575
S CRU     12 54 22.0 -58 25 50   6.92  6.22  DCEP       4.68997
T CRU     12 21 21.1 -62 16 54   6.83  6.32  DCEP       6.73331
X CRU     12 46 22.3 -59 07 29   8.70  8.10  DCEP       6.21997
SV CRU    11 57 53.7 -62 38 46  12.50 11.76  DCEP       7.00427
TY CRU    12 06 40.4 -62 35 49  14.29 13.77  DCEP       4.98851
VV CRU    12 23 31.9 -64 28 15  13.6  13.0   DCEP       6.12115
VW CRU    12 33 18.7 -63 30 23   9.94  9.32  DCEP       5.26522
VX CRU    12 34 23.5 -61 14 15  12.42 11.42  DCEP      12.2126
AD CRU    12 12 59.7 -62 05 49  11.45 10.64  DCEP       6.39789
AG CRU    12 41 26.0 -59 47 39   8.58  7.73  DCEP       3.83728
BG CRU    12 31 40.3 -59 25 26   5.58  5.34  DCEPS      3.3428
BX CRU    12 50 38.7 -63 04 34  12.66 12.20  DCEP      19.537
X CYG     20 43 24.2 +35 35 16   6.91  5.85  DCEP      16.386332
SU CYG    19 44 48.7 +29 15 53   7.22  6.44  DCEP       3.8455473
SZ CYG    20 32 54.3 +46 36 05   9.84  8.92  DCEP      15.10965
TX CYG    21 00 06.4 +42 35 51  10.02  8.59  DCEP      14.7098
VX CYG    20 57 20.8 +40 10 39  10.55  9.54  DCEP      20.133407
VY CYG    21 04 16.6 +39 58 20  10.02  9.19  DCEP       7.856982
VZ CYG    21 51 41.4 +43 08 03   9.28  8.60  DCEP       4.864453
BZ CYG    20 45 59.8 +45 18 25  10.53 10.00  DCEP      10.141932
CD CYG    20 04 26.6 +34 06 44   9.56  8.35  DCEP      17.073967
DT CYG    21 06 30.2 +31 11 05   5.96  5.57  DCEPS      2.499215
EP CYG    19 45 03.7 +31 19 51  13.12 12.31  DCEP       4.2889305
